City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Khuzdar,PK,27.7384,66.6434,79.75,35,2,5.95,clear sky
258,Shumskiy,RU,54.8318,99.1328,54.27,91,99,3.27,overcast clouds
259,Bharatpur,IN,27.2167,77.4833,79.29,87,30,7.78,scattered clouds
260,Alofi,NU,-19.0595,-169.9187,76.89,73,20,10.36,few clouds
261,Marathon,US,44.9,-89.7668,78.33,48,1,9.22,clear sky
262,Ust-Barguzin,RU,53.45,108.9833,56.19,95,94,1.23,overcast clouds
263,Miracema Do Tocantins,BR,-9.5618,-48.3967,79.29,32,8,4.94,clear sky
264,Kruisfontein,ZA,-34.0033,24.7314,46.89,93,0,5.91,clear sky
265,Bilibino,RU,68.0546,166.4372,34.43,85,99,12.3,overcast clouds
266,Kostomuksha,RU,64.571,30.5767,55.4,97,100,8.1,overcast clouds
267,Chapais,CA,49.7834,-74.8492,64.18,77,100,6.49,overcast clouds
268,Dutlwe,BW,-23.9833,23.9,51.6,21,0,6.67,clear sky
269,Rocha,UY,-34.4833,-54.3333,45.3,92,21,2.04,few clouds
270,Kisangani,CD,0.5167,25.2,69.87,83,72,1.72,broken clouds
271,Susehri,TR,40.1644,38.0867,63.23,87,17,3.78,few clouds
272,Faya,SA,18.3851,42.4509,63.12,71,100,10.49,overcast clouds
273,Djambala,CG,-2.5447,14.7533,77.04,44,64,5.46,broken clouds
274,Talnakh,RU,69.4865,88.3972,68.34,52,100,4.99,overcast clouds
275,Saint Anthony,US,45.0205,-93.218,84.15,37,75,10.36,broken clouds
276,Oktyabrskoye,RU,43.0645,44.7417,62.74,93,74,4.47,broken clouds
277,Hambantota,LK,6.1241,81.1185,79.23,80,100,18.92,overcast clouds
278,Asau,RO,46.4333,26.4,66.96,82,19,3.4,light rain
279,Carnarvon,AU,-24.8667,113.6333,44.67,47,0,11.5,clear sky
280,Constantine,DZ,36.365,6.6147,73.09,63,25,3.31,scattered clouds
281,Vitim,RU,59.4511,112.5578,59.59,87,96,1.19,overcast clouds
282,Turbat,PK,26.0023,63.044,85.44,67,41,4.23,scattered clouds
283,Floro,NO,61.5996,5.0328,51.96,70,10,14.79,clear sky
284,Chifeng,CN,42.2683,118.9636,67.28,82,60,2.55,broken clouds
285,Namibe,AO,-15.1961,12.1522,68.52,83,84,2.73,broken clouds
286,Kosai,JP,34.7105,137.5316,82.15,84,100,13.51,overcast clouds
287,Ararangua,BR,-28.9347,-49.4858,52.86,89,29,2.8,scattered clouds
288,Mercedes,AR,-34.6515,-59.4307,53.85,62,0,6.71,clear sky
289,Novokruchininskiy,RU,51.7833,113.7667,60.53,83,95,1.19,overcast clouds
290,Fortuna,US,40.5982,-124.1573,68.94,71,40,3.0,scattered clouds
291,Leningradskiy,RU,69.3833,178.4167,33.17,100,100,10.02,snow
292,Bubaque,GW,11.2833,-15.8333,79.47,81,99,18.03,overcast clouds
293,Baghdad,IQ,33.3406,44.4009,97.56,12,50,9.75,scattered clouds
294,Norman Wells,CA,65.282,-126.8329,88.38,26,0,10.27,clear sky
295,Pedernales,DO,18.0384,-71.744,83.7,70,88,7.29,overcast clouds
296,Deer Lake,CA,49.1667,-57.4316,63.14,76,92,3.49,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,69.17,64,1,4.45,clear sky
298,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,75,11.5,broken clouds
299,Egvekinot,RU,66.3167,-179.1667,35.4,90,100,15.59,light rain
300,Manapa,PH,8.9778,125.4394,78.64,87,100,4.14,overcast clouds
301,Bac Lieu,VN,9.285,105.7244,79.29,84,98,9.82,overcast clouds
302,Iqaluit,CA,63.7506,-68.5145,49.69,93,75,5.01,fog
303,Nemuro,JP,43.3236,145.575,69.53,97,100,5.32,overcast clouds
304,Harper,LR,4.375,-7.7169,75.7,77,24,5.39,few clouds
305,Plaster Rock,CA,46.9065,-67.39,66.72,98,97,3.58,overcast clouds
306,Ola,RU,59.5833,151.2833,54.21,48,0,15.5,clear sky
307,Tuatapere,NZ,-46.1333,167.6833,48.81,78,98,3.94,overcast clouds
308,Nanpiao,CN,41.0982,120.7479,70.03,82,97,3.96,overcast clouds
309,Vanavara,RU,60.34,102.2797,60.33,83,100,4.41,overcast clouds
310,Bratsk,RU,56.1325,101.6142,55.89,83,46,4.5,scattered clouds
311,Purpe,RU,64.4803,76.6897,58.66,84,87,8.97,overcast clouds
312,Mandalgovi,MN,45.7625,106.2708,54.45,69,1,9.24,clear sky
313,Dharchula,IN,29.85,80.5333,72.23,94,97,1.68,moderate rain
314,Tura,IN,25.5198,90.2201,73.8,98,100,3.56,overcast clouds
315,Raudeberg,NO,61.9875,5.1352,51.87,81,30,15.57,scattered clouds
316,Bonaventure,CA,48.0457,-65.4926,60.22,92,100,7.14,light rain
317,Sikonge,TZ,-5.6333,32.7667,67.48,38,51,2.46,broken clouds
318,Ukiah,US,39.1502,-123.2078,100.53,23,1,8.05,clear sky
319,Pohrebyshche,UA,49.4864,29.2636,59.29,85,5,7.18,clear sky
320,Jumla,NP,29.2747,82.1838,63.54,97,96,2.13,overcast clouds
321,Darab,IR,28.7519,54.5444,85.66,40,14,4.14,few clouds
322,Touros,BR,-5.1989,-35.4608,74.3,81,20,16.44,few clouds
323,Bayangol,RU,50.6977,103.4656,50.81,98,100,3.98,light rain
324,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,20,10.36,few clouds
325,Caravelas,BR,-17.7125,-39.2481,66.78,75,80,4.56,broken clouds
326,Yerbogachen,RU,61.2767,108.0108,63.48,70,100,4.23,overcast clouds
327,Jaisalmer,IN,26.9147,70.9181,81.97,69,32,18.88,scattered clouds
328,Cherskiy,RU,68.75,161.3,44.69,52,74,16.51,broken clouds
329,Miquelon,PM,47.0975,-56.3814,60.8,92,100,17.05,overcast clouds
330,Henties Bay,NA,-22.116,14.2845,61.86,71,0,10.38,clear sky
331,Pocatello,US,42.8713,-112.4455,78.73,62,40,5.99,scattered clouds
332,Lasa,IT,46.6166,10.7002,57.02,91,53,0.51,broken clouds
333,Wellington,NZ,-41.2866,174.7756,54.77,73,90,5.01,moderate rain
334,Clonakilty,IE,51.6231,-8.8706,54.61,86,100,4.18,overcast clouds
335,Omboue,GA,-1.5746,9.2618,74.91,87,99,4.92,overcast clouds
336,Dobryanka,RU,58.4619,56.4165,64.26,95,58,1.61,broken clouds
337,Lakes Entrance,AU,-37.8811,147.981,50.18,86,100,9.84,moderate rain
338,Kimbe,PG,-5.5502,150.1429,81.28,79,62,3.58,light rain
339,Prado,BR,-17.3411,-39.2208,66.61,74,72,5.7,broken clouds
340,Kindu,CD,-2.95,25.95,73.35,59,45,0.49,scattered clouds
341,Odweyne,SO,9.4092,45.064,70.88,59,19,18.59,few clouds
342,Severo-Kurilsk,RU,50.6789,156.125,52.09,73,98,19.42,overcast clouds
343,Evensk,RU,61.95,159.2333,51.93,48,7,11.99,clear sky
344,Hirna,ET,9.2167,41.1,61.18,76,65,8.23,broken clouds
